,AoE,Caster,Crowd-Control,DP-Recovery,DPS,Debuff,Defender,Defense,Fast-Redeploy,Guard,Healing,Medic,Melee,Nuker,Ranged,Robot,Senior,Shift,Slow,Sniper,Specialist,Starter,Summon,Support,Supporter,Survival,Top,Vanguard,
AoE,-0.1355640514546504,0.0053044908451241116,-0.0008495899094859982,0.004284256808519141,-0.0014722594371648426,0.0017699789780958285,-0.005141108170222966,-0.0018480395894374946,-0.0034001750009984497,0.035811666975278385,-0.0007787907503621697,0.006428200575833154,0.02830695610815206,0.0007116223173472462,0.0008241748267235963,-0.0006880225976393019,-0.000493778750812375,-0.002508831741259935,0.014965853020945656,0.025378775501312505,0.0012108471573229907,0.005182861520475472,-0.00010529105715852111,-0.0023872024166112986,0.0009222044316642836,0.016009686777258586,-0.0003158731714755637,0.009129460800865553,
Caster,0.0053044908451241116,-0.23385506867518435,0.0012961692208824844,0.02971567783841092,0.00811104212731504,0.007292313389754818,0.012526005075755103,0.012217393356497366,0.003732386439964132,0.016220268891575643,0.013931096079905017,0.014947699390401109,0.01905223525652895,0.0005409781902282638,0.019625889981737463,0.0012870924056101983,0.0021167133214971667,0.003385652096562792,0.00018516703155463388,0.020842183228223815,0.0077316312489334755,0.01427601506025189,-7.442988523274755e-05,0.002229265830873517,0.0072904980267003705,-0.005231876322945819,0.002526985371804507,0.011489432771660008,
Crowd-Control,-0.0008495899094859982,0.0012961692208824844,-0.004925987648269778,0.0019496999204870983,0.00028047359191364684,-0.0014949514753455544,0.00019061312071801248,0.0012063087496868498,0.0002831966364953327,0.0004002875535078262,0.0010538182531124398,0.0013642453354246317,0.00020422834362644185,-0.001078325654347613,0.0006426385212778705,-0.0005037632476118899,-0.0021648204424402837,0.000125260050757551,0.00016065963031946758,0.00019878225446307018,-0.00029408881482207626,0.0018761777167815791,1.3615222908429458e-05,9.530656035900621e-05,0.0010946639218377286,-0.000424794954742999,-0.0010592643422758117,0.00031315012689387767,
DP-Recovery,0.004284256808519141,0.02971567783841092,0.0019496999204870983,-0.23872992359742026,-0.003233766721006545,0.005197384424911137,0.01632555994873415,0.010159981894779138,0.010428655626838815,0.013204345737103967,0.0035290657778649093,0.02798079587936793,0.02070905660423028,0.0017330665959885317,0.015983061452459896,0.0025826565054745303,6.595819097861408e-05,0.002814417855426906,-0.003414697905434111,0.017525514927730412,0.005512047354350395,0.014496884231877533,-1.6943388508267607e-05,0.005932001340948177,0.015885031847519188,0.0014698389530922312,0.002699444861977947,0.013178325533323404,
DPS,-0.0014722594371648426,0.00811104212731504,0.00028047359191364684,-0.003233766721006545,-0.13962108532085332,-0.00024053560471558755,0.03879067774764275,0.03978035317283104,0.0024465042763902357,-0.01130940926875966,-0.011041945778736288,0.0043674609485150895,0.00239839715544711,0.00018819263664540263,0.011205025893128363,0.0010187212340595996,-0.00045051259801447683,0.0036948689368386787,0.017484669259005107,-0.009887374876101467,0.004273969751210543,0.0019754175637585816,-8.865022915932955e-05,0.0010296134123863434,0.050787201932514486,-0.010667678429009016,0.0002841043180225613,0.0005279680883379934,
Debuff,0.0017699789780958285,0.007292313389754818,-0.0014949514753455544,0.005197384424911137,-0.00024053560471558755,-0.030370116219542744,0.002123974773714994,0.004889680387180632,-0.004257026362702277,0.0012516928260482823,-0.0021266978182966816,0.007173407109687865,0.0033103145298028136,-0.00041208741336179824,0.0005863622665896948,-0.0008069288777062525,0.00022419733722547173,-0.003057071383706027,-0.0015494123669792725,-0.0011246174122362725,-0.004429485852875717,0.0085821288399467,8.622974508671989e-05,-0.001046556800894611,0.008766388189974113,-0.0028737197152058445,-0.0002913657702403904,0.0025333391424951068,
Defender,-0.005141108170222966,0.012526005075755103,0.00019061312071801248,0.01632555994873415,0.03879067774764275,0.002123974773714994,-0.19274798767005413,-0.029977090118252753,0.0033638677399093053,0.01631466777040741,0.03624916947140258,0.017761512124809836,-0.0050122173933564995,-0.0005028555660846613,0.005426120169772758,0.0013379225711350011,0.0007642678459265069,0.006046974334397135,0.0038776154843207095,0.004601945343049155,-0.0008205441006146844,0.0113532805425757,-0.00038304160449048196,-0.0010311262149317237,0.010164217741906192,0.03226626292992336,0.0005010402030302037,0.016492573349744216,
Defense,-0.0018480395894374946,0.012217393356497366,0.0012063087496868498,0.010159981894779138,0.03978035317283104,0.004889680387180632,-0.029977090118252753,-0.1842971700910465,0.008989072724654205,0.014997016753380506,0.04252034114302519,0.001266820851502093,-0.0007040583046203502,0.0005222194386655387,-0.0027769003523014507,0.0011784731828518387,0.0017424459717698944,0.00616557805395501,0.0008795433998845387,0.008928863183348033,0.0043483996364432915,0.012591660706224639,0.00012011652210325546,0.0024909806712244387,0.0022988547479610433,0.031590342752647105,0.0014604595773108665,0.008629933400380735,
Fast-Redeploy,-0.0034001750009984497,0.003732386439964132,0.0002831966364953327,0.010428655626838815,0.0024465042763902357,-0.004257026362702277,0.0033638677399093053,0.008989072724654205,-0.053933226105888916,0.0002862222415860975,0.002826520275789956,0.008369428802066125,-0.00032918583387491623,-0.00029832466194914316,0.006937107352099348,-1.5128025453810495e-05,-0.00014099319722951387,-0.007353430612588211,0.0010619873868574978,0.004008321624241633,-0.011343598606285272,0.009579065717352814,0.0001573314647196293,-0.0021990097799658953,0.006354375811618568,0.00010287057308591262,-0.0006281156168422122,0.014986427135562842,
Guard,0.035811666975278385,0.016220268891575643,0.0004002875535078262,0.013204345737103967,-0.01130940926875966,0.0012516928260482823,0.01631466777040741,0.014997016753380506,0.0002862222415860975,-0.21122263491475662,0.009511594723828821,0.024788479948104833,-0.01750524337362229,0.00023357671300683423,0.019236192046047304,0.002284029283016311,0.0005170759100112435,0.0010680385970390218,0.03306048426624841,-0.006287509939112715,0.0030195538805805767,0.013653648093082144,0.0002834991970044091,0.0036346593955325136,0.011584436771509943,-0.002660111995798041,-0.00024961241998787366,0.02668916506612158,
