                         AoE         Caster  Crowd-Control    DP-Recovery            DPS         Debuff       Defender        Defense  Fast-Redeploy          Guard        Healing          Medic          Melee          Nuker         Ranged          Robot         Senior          Shift           Slow         Sniper     Specialist        Starter         Summon        Support      Supporter       Survival            Top       Vanguard  
          AoE  -0.1355640515  +0.0053044908  -0.0008495899  +0.0042842568  -0.0014722594  +0.0017699790  -0.0051411082  -0.0018480396  -0.0034001750  +0.0358116670  -0.0007787908  +0.0064282006  +0.0283069561  +0.0007116223  +0.0008241748  -0.0006880226  -0.0004937788  -0.0025088317  +0.0149658530  +0.0253787755  +0.0012108472  +0.0051828615  -0.0001052911  -0.0023872024  +0.0009222044  +0.0160096868  -0.0003158732  +0.0091294608  
       Caster  +0.0053044908  -0.2338550687  +0.0012961692  +0.0297156778  +0.0081110421  +0.0072923134  +0.0125260051  +0.0122173934  +0.0037323864  +0.0162202689  +0.0139310961  +0.0149476994  +0.0190522353  +0.0005409782  +0.0196258900  +0.0012870924  +0.0021167133  +0.0033856521  +0.0001851670  +0.0208421832  +0.0077316312  +0.0142760151  -0.0000744299  +0.0022292658  +0.0072904980  -0.0052318763  +0.0025269854  +0.0114894328  
Crowd-Control  -0.0008495899  +0.0012961692  -0.0049259876  +0.0019496999  +0.0002804736  -0.0014949515  +0.0001906131  +0.0012063087  +0.0002831966  +0.0004002876  +0.0010538183  +0.0013642453  +0.0002042283  -0.0010783257  +0.0006426385  -0.0005037632  -0.0021648204  +0.0001252601  +0.0001606596  +0.0001987823  -0.0002940888  +0.0018761777  +0.0000136152  +0.0000953066  +0.0010946639  -0.0004247950  -0.0010592643  +0.0003131501  
  DP-Recovery  +0.0042842568  +0.0297156778  +0.0019496999  -0.2387299236  -0.0032337667  +0.0051973844  +0.0163255599  +0.0101599819  +0.0104286556  +0.0132043457  +0.0035290658  +0.0279807959  +0.0207090566  +0.0017330666  +0.0159830615  +0.0025826565  +0.0000659582  +0.0028144179  -0.0034146979  +0.0175255149  +0.0055120474  +0.0144968842  -0.0000169434  +0.0059320013  +0.0158850318  +0.0014698390  +0.0026994449  +0.0131783255  
          DPS  -0.0014722594  +0.0081110421  +0.0002804736  -0.0032337667  -0.1396210853  -0.0002405356  +0.0387906777  +0.0397803532  +0.0024465043  -0.0113094093  -0.0110419458  +0.0043674609  +0.0023983972  +0.0001881926  +0.0112050259  +0.0010187212  -0.0004505126  +0.0036948689  +0.0174846693  -0.0098873749  +0.0042739698  +0.0019754176  -0.0000886502  +0.0010296134  +0.0507872019  -0.0106676784  +0.0002841043  +0.0005279681  
       Debuff  +0.0017699790  +0.0072923134  -0.0014949515  +0.0051973844  -0.0002405356  -0.0303701162  +0.0021239748  +0.0048896804  -0.0042570264  +0.0012516928  -0.0021266978  +0.0071734071  +0.0033103145  -0.0004120874  +0.0005863623  -0.0008069289  +0.0002241973  -0.0030570714  -0.0015494124  -0.0011246174  -0.0044294859  +0.0085821288  +0.0000862297  -0.0010465568  +0.0087663882  -0.0028737197  -0.0002913658  +0.0025333391  
     Defender  -0.0051411082  +0.0125260051  +0.0001906131  +0.0163255599  +0.0387906777  +0.0021239748  -0.1927479877  -0.0299770901  +0.0033638677  +0.0163146678  +0.0362491695  +0.0177615121  -0.0050122174  -0.0005028556  +0.0054261202  +0.0013379226  +0.0007642678  +0.0060469743  +0.0038776155  +0.0046019453  -0.0008205441  +0.0113532805  -0.0003830416  -0.0010311262  +0.0101642177  +0.0322662629  +0.0005010402  +0.0164925733  
      Defense  -0.0018480396  +0.0122173934  +0.0012063087  +0.0101599819  +0.0397803532  +0.0048896804  -0.0299770901  -0.1842971701  +0.0089890727  +0.0149970168  +0.0425203411  +0.0012668209  -0.0007040583  +0.0005222194  -0.0027769004  +0.0011784732  +0.0017424460  +0.0061655781  +0.0008795434  +0.0089288632  +0.0043483996  +0.0125916607  +0.0001201165  +0.0024909807  +0.0022988547  +0.0315903428  +0.0014604596  +0.0086299334  
Fast-Redeploy  -0.0034001750  +0.0037323864  +0.0002831966  +0.0104286556  +0.0024465043  -0.0042570264  +0.0033638677  +0.0089890727  -0.0539332261  +0.0002862222  +0.0028265203  +0.0083694288  -0.0003291858  -0.0002983247  +0.0069371074  -0.0000151280  -0.0001409932  -0.0073534306  +0.0010619874  +0.0040083216  -0.0113435986  +0.0095790657  +0.0001573315  -0.0021990098  +0.0063543758  +0.0001028706  -0.0006281156  +0.0149864271  
        Guard  +0.0358116670  +0.0162202689  +0.0004002876  +0.0132043457  -0.0113094093  +0.0012516928  +0.0163146678  +0.0149970168  +0.0002862222  -0.2112226349  +0.0095115947  +0.0247884799  -0.0175052434  +0.0002335767  +0.0192361920  +0.0022840293  +0.0005170759  +0.0010680386  +0.0330604843  -0.0062875099  +0.0030195539  +0.0136536481  +0.0002834992  +0.0036346594  +0.0115844368  -0.0026601120  -0.0002496124  +0.0266891651  
      Healing  -0.0007787908  +0.0139310961  +0.0010538183  +0.0035290658  -0.0110419458  -0.0021266978  +0.0362491695  +0.0425203411  +0.0028265203  +0.0095115947  -0.1675571022  +0.0042071039  +0.0417851191  +0.0009367273  +0.0067313662  -0.0002096744  +0.0009721269  +0.0009857421  -0.0040927360  +0.0085476369  -0.0021947739  +0.0086184361  +0.0000353996  -0.0014023680  +0.0041662582  -0.0100153580  -0.0004438563  +0.0123653454  
