,AoE,Caster,Crowd-Control,DP-Recovery,DPS,Debuff,Defender,Defense,Fast-Redeploy,Guard,Healing,Medic,Melee,Nuker,Ranged,Robot,Senior,Shift,Slow,Sniper,Specialist,Starter,Summon,Support,Supporter,Survival,Top,Vanguard,
AoE,0.1617161716171617,0.05500550055005501,0.0016501650165016502,0.0594059405940594,0.028602860286028604,0.0033003300330033004,0.047304730473047306,0.041254125412541254,0.012651265126512651,0.013201320132013201,0.0352035203520352,0.056105610561056105,0.014301430143014302,0.0,0.056105610561056105,0.0022002200220022,0.0016501650165016502,0.006600660066006601,0.00825082508250825,0.017051705170517052,0.007150715071507151,0.056105610561056105,0.00055005500550055,0.005500550055005501,0.052805280528052806,0.00605060506050605,0.0016501650165016502,0.05500550055005501,
Caster,0.05500550055005501,0.37293729372937295,0.00055005500550055,0.11716171617161716,0.054455445544554455,0.0044004400440044,0.0847084708470847,0.07865786578657866,0.0176017601760176,0.0968096809680968,0.06545654565456546,0.12926292629262925,0.07920792079207921,0.0011001100110011,0.11166116611661166,0.0022002200220022,0.00055005500550055,0.00605060506050605,0.05335533553355336,0.07700770077007701,0.01155115511551155,0.12706270627062707,0.0011001100110011,0.0049504950495049506,0.11661166116611661,0.056105610561056105,0.00055005500550055,0.13641364136413642,
Crowd-Control,0.0016501650165016502,0.00055005500550055,0.0049504950495049506,0.0,0.00055005500550055,0.0016501650165016502,0.0011001100110011,0.0,0.0,0.0011001100110011,0.0,0.00055005500550055,0.0011001100110011,0.0011001100110011,0.0011001100110011,0.00055005500550055,0.0022002200220022,0.0,0.00055005500550055,0.0011001100110011,0.00055005500550055,0.0,0.0,0.0,0.00055005500550055,0.0011001100110011,0.0011001100110011,0.0016501650165016502,
DP-Recovery,0.0594059405940594,0.11716171617161716,0.0,0.39383938393839385,0.06930693069306931,0.007150715071507151,0.08635863586358636,0.0858085808580858,0.0121012101210121,0.10616061606160616,0.08030803080308031,0.12431243124312431,0.08305830583058306,0.0,0.12266226622662266,0.0011001100110011,0.0027502750275027505,0.007150715071507151,0.059955995599559955,0.0858085808580858,0.01485148514851485,0.13476347634763478,0.0011001100110011,0.0016501650165016502,0.11496149614961496,0.052255225522552254,0.00055005500550055,0.14301430143014301,
DPS,0.028602860286028604,0.054455445544554455,0.00055005500550055,0.06930693069306931,0.16776677667766776,0.005500550055005501,0.0049504950495049506,0.0011001100110011,0.007150715071507151,0.06215621562156216,0.046754675467546754,0.06050605060506051,0.041804180418041806,0.00055005500550055,0.04785478547854786,0.00055005500550055,0.0016501650165016502,0.00055005500550055,0.006600660066006601,0.0539053905390539,0.0044004400440044,0.061606160616061605,0.00055005500550055,0.0022002200220022,0.0049504950495049506,0.03355335533553355,0.0011001100110011,0.066006600660066,
Debuff,0.0033003300330033004,0.0044004400440044,0.0016501650165016502,0.007150715071507151,0.005500550055005501,0.03135313531353135,0.00605060506050605,0.0027502750275027505,0.00605060506050605,0.00825082508250825,0.0088008800880088,0.0049504950495049506,0.0049504950495049506,0.00055005500550055,0.010451045104510451,0.0011001100110011,0.0,0.0038503850385038503,0.00605060506050605,0.00935093509350935,0.00605060506050605,0.0033003300330033004,0.0,0.0016501650165016502,0.0016501650165016502,0.007150715071507151,0.00055005500550055,0.009900990099009901,
Defender,0.047304730473047306,0.0847084708470847,0.0011001100110011,0.08635863586358636,0.0049504950495049506,0.00605060506050605,0.2607260726072607,0.09350935093509351,0.01155115511551155,0.0627062706270627,0.019251925192519254,0.08305830583058306,0.0737073707370737,0.0016501650165016502,0.08635863586358636,0.0011001100110011,0.0011001100110011,0.00055005500550055,0.03355335533553355,0.0638063806380638,0.014301430143014302,0.08745874587458746,0.0011001100110011,0.00605060506050605,0.07645764576457646,0.0033003300330033004,0.0016501650165016502,0.08690869086908691,
Defense,0.041254125412541254,0.07865786578657866,0.0,0.0858085808580858,0.0011001100110011,0.0027502750275027505,0.09350935093509351,0.24367436743674367,0.0049504950495049506,0.05885588558855886,0.00935093509350935,0.09295929592959296,0.06490649064906491,0.00055005500550055,0.08855885588558855,0.0011001100110011,0.0,0.0,0.034103410341034104,0.05500550055005501,0.00825082508250825,0.07975797579757976,0.00055005500550055,0.0022002200220022,0.07865786578657866,0.0016501650165016502,0.00055005500550055,0.08800880088008801,
Fast-Redeploy,0.012651265126512651,0.0176017601760176,0.0,0.0121012101210121,0.007150715071507151,0.00605060506050605,0.01155115511551155,0.0049504950495049506,0.05720572057205721,0.017051705170517052,0.00935093509350935,0.013751375137513752,0.015401540154015401,0.00055005500550055,0.013201320132013201,0.00055005500550055,0.00055005500550055,0.0088008800880088,0.007150715071507151,0.011001100110011002,0.014301430143014302,0.0121012101210121,0.0,0.0033003300330033004,0.012651265126512651,0.007700770077007701,0.0011001100110011,0.007700770077007701,
Guard,0.013201320132013201,0.0968096809680968,0.0011001100110011,0.10616061606160616,0.06215621562156216,0.00825082508250825,0.0627062706270627,0.05885588558855886,0.017051705170517052,0.3030803080308031,0.05500550055005501,0.0924092409240924,0.09735973597359736,0.0011001100110011,0.08745874587458746,0.00055005500550055,0.0016501650165016502,0.006600660066006601,0.010451045104510451,0.0858085808580858,0.012651265126512651,0.10121012101210121,0.00055005500550055,0.0022002200220022,0.0891089108910891,0.04400440044004401,0.0027502750275027505,0.09350935093509351,
