                         AoE         Caster  Crowd-Control    DP-Recovery            DPS         Debuff       Defender        Defense  Fast-Redeploy          Guard        Healing          Medic          Melee          Nuker         Ranged          Robot         Senior          Shift           Slow         Sniper     Specialist        Starter         Summon        Support      Supporter       Survival            Top       Vanguard  
          AoE  +0.1617161716  +0.0550055006  +0.0016501650  +0.0594059406  +0.0286028603  +0.0033003300  +0.0473047305  +0.0412541254  +0.0126512651  +0.0132013201  +0.0352035204  +0.0561056106  +0.0143014301  +0.0000000000  +0.0561056106  +0.0022002200  +0.0016501650  +0.0066006601  +0.0082508251  +0.0170517052  +0.0071507151  +0.0561056106  +0.0005500550  +0.0055005501  +0.0528052805  +0.0060506051  +0.0016501650  +0.0550055006  
       Caster  +0.0550055006  +0.3729372937  +0.0005500550  +0.1171617162  +0.0544554455  +0.0044004400  +0.0847084708  +0.0786578658  +0.0176017602  +0.0968096810  +0.0654565457  +0.1292629263  +0.0792079208  +0.0011001100  +0.1116611661  +0.0022002200  +0.0005500550  +0.0060506051  +0.0533553355  +0.0770077008  +0.0115511551  +0.1270627063  +0.0011001100  +0.0049504950  +0.1166116612  +0.0561056106  +0.0005500550  +0.1364136414  
Crowd-Control  +0.0016501650  +0.0005500550  +0.0049504950  +0.0000000000  +0.0005500550  +0.0016501650  +0.0011001100  +0.0000000000  +0.0000000000  +0.0011001100  +0.0000000000  +0.0005500550  +0.0011001100  +0.0011001100  +0.0011001100  +0.0005500550  +0.0022002200  +0.0000000000  +0.0005500550  +0.0011001100  +0.0005500550  +0.0000000000  +0.0000000000  +0.0000000000  +0.0005500550  +0.0011001100  +0.0011001100  +0.0016501650  
  DP-Recovery  +0.0594059406  +0.1171617162  +0.0000000000  +0.3938393839  +0.0693069307  +0.0071507151  +0.0863586359  +0.0858085809  +0.0121012101  +0.1061606161  +0.0803080308  +0.1243124312  +0.0830583058  +0.0000000000  +0.1226622662  +0.0011001100  +0.0027502750  +0.0071507151  +0.0599559956  +0.0858085809  +0.0148514851  +0.1347634763  +0.0011001100  +0.0016501650  +0.1149614961  +0.0522552255  +0.0005500550  +0.1430143014  
          DPS  +0.0286028603  +0.0544554455  +0.0005500550  +0.0693069307  +0.1677667767  +0.0055005501  +0.0049504950  +0.0011001100  +0.0071507151  +0.0621562156  +0.0467546755  +0.0605060506  +0.0418041804  +0.0005500550  +0.0478547855  +0.0005500550  +0.0016501650  +0.0005500550  +0.0066006601  +0.0539053905  +0.0044004400  +0.0616061606  +0.0005500550  +0.0022002200  +0.0049504950  +0.0335533553  +0.0011001100  +0.0660066007  
       Debuff  +0.0033003300  +0.0044004400  +0.0016501650  +0.0071507151  +0.0055005501  +0.0313531353  +0.0060506051  +0.0027502750  +0.0060506051  +0.0082508251  +0.0088008801  +0.0049504950  +0.0049504950  +0.0005500550  +0.0104510451  +0.0011001100  +0.0000000000  +0.0038503850  +0.0060506051  +0.0093509351  +0.0060506051  +0.0033003300  +0.0000000000  +0.0016501650  +0.0016501650  +0.0071507151  +0.0005500550  +0.0099009901  
     Defender  +0.0473047305  +0.0847084708  +0.0011001100  +0.0863586359  +0.0049504950  +0.0060506051  +0.2607260726  +0.0935093509  +0.0115511551  +0.0627062706  +0.0192519252  +0.0830583058  +0.0737073707  +0.0016501650  +0.0863586359  +0.0011001100  +0.0011001100  +0.0005500550  +0.0335533553  +0.0638063806  +0.0143014301  +0.0874587459  +0.0011001100  +0.0060506051  +0.0764576458  +0.0033003300  +0.0016501650  +0.0869086909  
      Defense  +0.0412541254  +0.0786578658  +0.0000000000  +0.0858085809  +0.0011001100  +0.0027502750  +0.0935093509  +0.2436743674  +0.0049504950  +0.0588558856  +0.0093509351  +0.0929592959  +0.0649064906  +0.0005500550  +0.0885588559  +0.0011001100  +0.0000000000  +0.0000000000  +0.0341034103  +0.0550055006  +0.0082508251  +0.0797579758  +0.0005500550  +0.0022002200  +0.0786578658  +0.0016501650  +0.0005500550  +0.0880088009  
Fast-Redeploy  +0.0126512651  +0.0176017602  +0.0000000000  +0.0121012101  +0.0071507151  +0.0060506051  +0.0115511551  +0.0049504950  +0.0572057206  +0.0170517052  +0.0093509351  +0.0137513751  +0.0154015402  +0.0005500550  +0.0132013201  +0.0005500550  +0.0005500550  +0.0088008801  +0.0071507151  +0.0110011001  +0.0143014301  +0.0121012101  +0.0000000000  +0.0033003300  +0.0126512651  +0.0077007701  +0.0011001100  +0.0077007701  
        Guard  +0.0132013201  +0.0968096810  +0.0011001100  +0.1061606161  +0.0621562156  +0.0082508251  +0.0627062706  +0.0588558856  +0.0170517052  +0.3030803080  +0.0550055006  +0.0924092409  +0.0973597360  +0.0011001100  +0.0874587459  +0.0005500550  +0.0016501650  +0.0066006601  +0.0104510451  +0.0858085809  +0.0126512651  +0.1012101210  +0.0005500550  +0.0022002200  +0.0891089109  +0.0440044004  +0.0027502750  +0.0935093509  
      Healing  +0.0352035204  +0.0654565457  +0.0000000000  +0.0803080308  +0.0467546755  +0.0088008801  +0.0192519252  +0.0093509351  +0.0093509351  +0.0550055006  +0.2128712871  +0.0781078108  +0.0143014301  +0.0000000000  +0.0682068207  +0.0022002200  +0.0005500550  +0.0044004400  +0.0346534653  +0.0473047305  +0.0132013201  +0.0720572057  +0.0005500550  +0.0055005501  +0.0665566557  +0.0390539054  +0.0022002200  +0.0720572057  
        Medic  +0.0561056106  +0.1292629263  +0.0005500550  +0.1243124312  +0.0605060506  +0.0049504950  +0.0830583058  +0.0929592959  +0.0137513751  +0.0924092409  +0.0781078108  +0.3866886689  +0.0803080308  +0.0005500550  +0.1298129813  +0.0033003300  +0.0005500550  +0.0071507151  +0.0495049505  +0.0808580858  +0.0104510451  +0.1287128713  +0.0000000000  +0.0033003300  +0.1215621562  +0.0484048405  +0.0016501650  +0.1419141914  
        Melee  +0.0143014301  +0.0792079208  +0.0011001100  +0.0830583058  +0.0418041804  +0.0049504950  +0.0737073707  +0.0649064906  +0.0154015402  +0.0973597360  +0.0143014301  +0.0803080308  +0.2634763476  +0.0005500550  +0.0786578658  +0.0044004400  +0.0011001100  +0.0049504950  +0.0071507151  +0.0830583058  +0.0126512651  +0.0891089109  +0.0000000000  +0.0066006601  +0.0715071507  +0.0313531353  +0.0011001100  +0.0913091309  
        Nuker  +0.0000000000  +0.0011001100  +0.0011001100  +0.0000000000  +0.0005500550  +0.0005500550  +0.0016501650  +0.0005500550  +0.0005500550  +0.0011001100  +0.0000000000  +0.0005500550  +0.0005500550  +0.0044004400  +0.0016501650  +0.0000000000  +0.0011001100  +0.0000000000  +0.0000000000  +0.0016501650  +0.0005500550  +0.0000000000  +0.0005500550  +0.0000000000  +0.0011001100  +0.0000000000  +0.0016501650  +0.0005500550  
       Ranged  +0.0561056106  +0.1116611661  +0.0011001100  +0.1226622662  +0.0478547855  +0.0104510451  +0.0863586359  +0.0885588559  +0.0132013201  +0.0874587459  +0.0682068207  +0.1298129813  +0.0786578658  +0.0016501650  +0.3520352035  +0.0027502750  +0.0011001100  +0.0055005501  +0.0473047305  +0.0885588559  +0.0088008801  +0.1155115512  +0.0000000000  +0.0033003300  +0.0951595160  +0.0099009901  +0.0005500550  +0.1237623762  
        Robot  +0.0022002200  +0.0022002200  +0.0005500550  +0.0011001100  +0.0005500550  +0.0011001100  +0.0011001100  +0.0011001100  +0.0005500550  +0.0005500550  +0.0022002200  +0.0033003300  +0.0044004400  +0.0000000000  +0.0027502750  +0.0093509351  +0.0000000000  +0.0000000000  +0.0016501650  +0.0016501650  +0.0005500550  +0.0022002200  +0.0000000000  +0.0000000000  +0.0027502750  +0.0011001100  +0.0005500550  +0.0033003300  
       Senior  +0.0016501650  +0.0005500550  +0.0022002200  +0.0027502750  +0.0016501650  +0.0000000000  +0.0011001100  +0.0000000000  +0.0005500550  +0.0016501650  +0.0005500550  +0.0005500550  +0.0011001100  +0.0011001100  +0.0011001100  +0.0000000000  +0.0071507151  +0.0000000000  +0.0005500550  +0.0016501650  +0.0011001100  +0.0011001100  +0.0011001100  +0.0000000000  +0.0005500550  +0.0011001100  +0.0027502750  +0.0016501650  
        Shift  +0.0066006601  +0.0060506051  +0.0000000000  +0.0071507151  +0.0005500550  +0.0038503850  +0.0005500550  +0.0000000000  +0.0088008801  +0.0066006601  +0.0044004400  +0.0071507151  +0.0049504950  +0.0000000000  +0.0055005501  +0.0000000000  +0.0000000000  +0.0253025303  +0.0005500550  +0.0077007701  +0.0071507151  +0.0055005501  +0.0000000000  +0.0011001100  +0.0055005501  +0.0060506051  +0.0000000000  +0.0055005501  
         Slow  +0.0082508251  +0.0533553355  +0.0005500550  +0.0599559956  +0.0066006601  +0.0060506051  +0.0335533553  +0.0341034103  +0.0071507151  +0.0104510451  +0.0346534653  +0.0495049505  +0.0071507151  +0.0000000000  +0.0473047305  +0.0016501650  +0.0005500550  +0.0005500550  +0.1435643564  +0.0148514851  +0.0022002200  +0.0456545655  +0.0005500550  +0.0038503850  +0.0572057206  +0.0297029703  +0.0000000000  +0.0588558856  
       Sniper  +0.0170517052  +0.0770077008  +0.0011001100  +0.0858085809  +0.0539053905  +0.0093509351  +0.0638063806  +0.0550055006  +0.0110011001  +0.0858085809  +0.0473047305  +0.0808580858  +0.0830583058  +0.0016501650  +0.0885588559  +0.0016501650  +0.0016501650  +0.0077007701  +0.0148514851  +0.2623762376  +0.0110011001  +0.0786578658  +0.0011001100  +0.0055005501  +0.0698569857  +0.0110011001  +0.0027502750  +0.0786578658  
   Specialist  +0.0071507151  +0.0115511551  +0.0005500550  +0.0148514851  +0.0044004400  +0.0060506051  +0.0143014301  +0.0082508251  +0.0143014301  +0.0126512651  +0.0132013201  +0.0104510451  +0.0126512651  +0.0005500550  +0.0088008801  +0.0005500550  +0.0011001100  +0.0071507151  +0.0022002200  +0.0110011001  +0.0517051705  +0.0115511551  +0.0005500550  +0.0055005501  +0.0126512651  +0.0027502750  +0.0016501650  +0.0099009901  
      Starter  +0.0561056106  +0.1270627063  +0.0000000000  +0.1347634763  +0.0616061606  +0.0033003300  +0.0874587459  +0.0797579758  +0.0121012101  +0.1012101210  +0.0720572057  +0.1287128713  +0.0891089109  +0.0000000000  +0.1155115512  +0.0022002200  +0.0011001100  +0.0055005501  +0.0456545655  +0.0786578658  +0.0115511551  +0.3789878988  +0.0005500550  +0.0060506051  +0.1116611661  +0.0495049505  +0.0000000000  +0.1336633663  
       Summon  +0.0005500550  +0.0011001100  +0.0000000000  +0.0011001100  +0.0005500550  +0.0000000000  +0.0011001100  +0.0005500550  +0.0000000000  +0.0005500550  +0.0005500550  +0.0000000000  +0.0000000000  +0.0005500550  +0.0000000000  +0.0000000000  +0.0011001100  +0.0000000000  +0.0005500550  +0.0011001100  +0.0005500550  +0.0005500550  +0.0027502750  +0.0000000000  +0.0005500550  +0.0000000000  +0.0000000000  +0.0000000000  
      Support  +0.0055005501  +0.0049504950  +0.0000000000  +0.0016501650  +0.0022002200  +0.0016501650  +0.0060506051  +0.0022002200  +0.0033003300  +0.0022002200  +0.0055005501  +0.0033003300  +0.0066006601  +0.0000000000  +0.0033003300  +0.0000000000  +0.0000000000  +0.0011001100  +0.0038503850  +0.0055005501  +0.0055005501  +0.0060506051  +0.0000000000  +0.0192519252  +0.0005500550  +0.0027502750  +0.0011001100  +0.0022002200  
    Supporter  +0.0528052805  +0.1166116612  +0.0005500550  +0.1149614961  +0.0049504950  +0.0016501650  +0.0764576458  +0.0786578658  +0.0126512651  +0.0891089109  +0.0665566557  +0.1215621562  +0.0715071507  +0.0011001100  +0.0951595160  +0.0027502750  +0.0005500550  +0.0055005501  +0.0572057206  +0.0698569857  +0.0126512651  +0.1116611661  +0.0005500550  +0.0005500550  +0.3322332233  +0.0434543454  +0.0016501650  +0.1155115512  
     Survival  +0.0060506051  +0.0561056106  +0.0011001100  +0.0522552255  +0.0335533553  +0.0071507151  +0.0033003300  +0.0016501650  +0.0077007701  +0.0440044004  +0.0390539054  +0.0484048405  +0.0313531353  +0.0000000000  +0.0099009901  +0.0011001100  +0.0011001100  +0.0060506051  +0.0297029703  +0.0110011001  +0.0027502750  +0.0495049505  +0.0000000000  +0.0027502750  +0.0434543454  +0.1364136414  +0.0011001100  +0.0550055006  
          Top  +0.0016501650  +0.0005500550  +0.0011001100  +0.0005500550  +0.0011001100  +0.0005500550  +0.0016501650  +0.0005500550  +0.0011001100  +0.0027502750  +0.0022002200  +0.0016501650  +0.0011001100  +0.0016501650  +0.0005500550  +0.0005500550  +0.0027502750  +0.0000000000  +0.0000000000  +0.0027502750  +0.0016501650  +0.0000000000  +0.0000000000  +0.0011001100  +0.0016501650  +0.0011001100  +0.0082508251  +0.0016501650  
