,AoE,Caster,Crowd-Control,DP-Recovery,DPS,Debuff,Defender,Defense,Fast-Redeploy,Guard,Healing,Medic,Melee,Nuker,Ranged,Robot,Senior,Shift,Slow,Sniper,Specialist,Starter,Summon,Support,Supporter,Survival,Top,Vanguard,
AoE,0.026152120162511297,0.06030999139517912,0.000800575107015652,0.06369019740257854,0.027130600848863762,0.005070309011099129,0.04216362230282434,0.03940608582310376,0.009251090125514201,0.049012987107291586,0.03442472960167303,0.06253381113688926,0.042608386251166364,0.0007116223173472462,0.0569297853877797,0.0015121974243628982,0.0011563862656892752,0.004091828324746666,0.023216678103453906,0.04243048067182956,0.008361562228830142,0.06128847208153158,0.0004447639483420289,0.0031133476383942023,0.05372748495971709,0.022060291837764635,0.0013342918450260865,0.06413496135092056,
Caster,0.06030999139517912,0.1390822250541886,0.0018462242263830345,0.14687739401002808,0.0625664876718695,0.011692753433759218,0.0972344759228398,0.09087525914307602,0.021334146615981733,0.11302994985967245,0.07938764173447048,0.14421062568303036,0.09826015604860816,0.0016410882012293639,0.13128705609834912,0.0034873124276123984,0.0026667683269977166,0.009436257157068842,0.05354050256510799,0.09784988399830083,0.019282786364445026,0.14133872133087896,0.0010256801257683525,0.0071797608803784675,0.12390215919281698,0.050873734238110285,0.003077040377305057,0.14790307413579643,
Crowd-Control,0.000800575107015652,0.0018462242263830345,2.4507401235173024e-05,0.0019496999204870983,0.0008305285974141969,0.0001552135411560958,0.0012907231317191125,0.0012063087496868498,0.0002831966364953327,0.0015003975645089263,0.0010538182531124398,0.0019143003409251816,0.001304338354627542,2.178435665348713e-05,0.0017427485322789706,4.629175788866015e-05,3.539957956191659e-05,0.000125260050757551,0.0007107146358200176,0.0012988922654641702,0.00025596619067847377,0.0018761777167815791,1.3615222908429458e-05,9.530656035900621e-05,0.0016447189273382785,0.000675315056258101,4.0845668725288366e-05,0.001963315143395528,
DP-Recovery,0.06369019740257854,0.14687739401002808,0.0019496999204870983,0.1551094603409736,0.06607316397206277,0.012348099496418288,0.10268419581232051,0.09596856275286494,0.022529865747850916,0.11936496179871013,0.08383709658094522,0.15229322712249224,0.10376736243481334,0.0017330665959885317,0.13864532767908255,0.00368276651647563,0.0028162332184813645,0.009965132926934057,0.056541297694125844,0.10333409578581622,0.020363532502865246,0.1492603605795123,0.0010831666224928324,0.007582166357449827,0.13084652799713414,0.053725064475644485,0.003249499867478497,0.15619262696346642,
DPS,0.027130600848863762,0.0625664876718695,0.0008305285974141969,0.06607316397206277,0.028145691356814447,0.005260014450289913,0.0437411727971477,0.040880463183832136,0.009597219347897387,0.0508468063528025,0.035712729688810466,0.0648735115535756,0.044202577573488916,0.0007382476421459527,0.05905981137167622,0.0015687762395601495,0.0011996524184871734,0.004244923942339229,0.024085329325011708,0.04401801566295244,0.008674409795214943,0.06358157817982019,0.0004614047763412205,0.0032298334343885435,0.055737696982019434,0.022885676906524537,0.0013842143290236613,0.066534568748404,
Debuff,0.005070309011099129,0.011692753433759218,0.0001552135411560958,0.012348099496418288,0.005260014450289913,0.0009830190939886067,0.008174579834221044,0.007639955414683382,0.0017935786978037738,0.009502517908556532,0.006674182269712119,0.012123902159192816,0.008260809579307764,0.0001379675921387518,0.011037407371100146,0.0002931811332948476,0.00022419733722547173,0.000793313654797823,0.004501192693526778,0.008226317681273078,0.0016211192076303338,0.01188245887295,8.622974508671989e-05,0.0006036082156070392,0.010416553206475762,0.004276995356301307,0.00025868923526015965,0.012434329241505008,
Defender,0.04216362230282434,0.0972344759228398,0.0012907231317191125,0.10268419581232051,0.0437411727971477,0.008174579834221044,0.06797808493720658,0.06353226081684075,0.014915022855420856,0.07902093839747011,0.055501094663921835,0.1008198179553929,0.0686951533437172,0.0011473094504169889,0.09178475603335912,0.002438032582136101,0.001864377856927607,0.006597029339897685,0.03743097081985426,0.06840832598111296,0.013480886042399618,0.09881202641716316,0.0007170684065106181,0.005019478845574327,0.08662186350648265,0.035566592962926656,0.002151205219531854,0.10340126421883113,
Defense,0.03940608582310376,0.09087525914307602,0.0012063087496868498,0.09596856275286494,0.040880463183832136,0.007639955414683382,0.06353226081684075,0.059377197345697165,0.013939567774159155,0.07385290234193936,0.05187127623653454,0.09422611678109505,0.06420243234444456,0.0010722744441660887,0.0857819555332871,0.0022785831938529387,0.0017424459717698944,0.00616557805395501,0.03498295374091864,0.06393436373340304,0.012599224718951542,0.0923496365038044,0.0006701715276038055,0.004691200693226639,0.0809567205345397,0.033240507769148754,0.0020105145828114165,0.09663873428046875,
Fast-Redeploy,0.009251090125514201,0.021334146615981733,0.0002831966364953327,0.022529865747850916,0.009597219347897387,0.0017935786978037738,0.014915022855420856,0.013939567774159155,0.0032724944661682892,0.01733792741210315,0.012177455369299307,0.022120803939579877,0.015072354320140485,0.00025173034355140686,0.02013842748411255,0.0005349269800467395,0.00040906180827103615,0.0014474494754205894,0.008212702458364649,0.015009421734252635,0.0029578315367290303,0.021680275838364915,0.0001573314647196293,0.001101320253037405,0.01900564093813122,0.007803640650093613,0.0004719943941588878,0.022687197212570544,
Guard,0.049012987107291586,0.11302994985967245,0.0015003975645089263,0.11936496179871013,0.0508468063528025,0.009502517908556532,0.07902093839747011,0.07385290234193936,0.01733792741210315,0.09185767311604649,0.06451709527388383,0.11719772087219724,0.07985449259997507,0.0013336867240079343,0.10669493792063477,0.0028340842885168607,0.0021672409265128937,0.007668698663045623,0.04351152937075886,0.07952107091897309,0.015670819007093228,0.11486376910518335,0.0008335542025049591,0.005834879417534714,0.10069334766259905,0.041344288444245966,0.002500662607514877,0.12019851600121509,
