                         AoE         Caster  Crowd-Control    DP-Recovery            DPS         Debuff       Defender        Defense  Fast-Redeploy          Guard        Healing          Medic          Melee          Nuker         Ranged          Robot         Senior          Shift           Slow         Sniper     Specialist        Starter         Summon        Support      Supporter       Survival            Top       Vanguard  
          AoE  +0.0261521202  +0.0603099914  +0.0008005751  +0.0636901974  +0.0271306008  +0.0050703090  +0.0421636223  +0.0394060858  +0.0092510901  +0.0490129871  +0.0344247296  +0.0625338111  +0.0426083863  +0.0007116223  +0.0569297854  +0.0015121974  +0.0011563863  +0.0040918283  +0.0232166781  +0.0424304807  +0.0083615622  +0.0612884721  +0.0004447639  +0.0031133476  +0.0537274850  +0.0220602918  +0.0013342918  +0.0641349614  
       Caster  +0.0603099914  +0.1390822251  +0.0018462242  +0.1468773940  +0.0625664877  +0.0116927534  +0.0972344759  +0.0908752591  +0.0213341466  +0.1130299499  +0.0793876417  +0.1442106257  +0.0982601560  +0.0016410882  +0.1312870561  +0.0034873124  +0.0026667683  +0.0094362572  +0.0535405026  +0.0978498840  +0.0192827864  +0.1413387213  +0.0010256801  +0.0071797609  +0.1239021592  +0.0508737342  +0.0030770404  +0.1479030741  
Crowd-Control  +0.0008005751  +0.0018462242  +0.0000245074  +0.0019496999  +0.0008305286  +0.0001552135  +0.0012907231  +0.0012063087  +0.0002831966  +0.0015003976  +0.0010538183  +0.0019143003  +0.0013043384  +0.0000217844  +0.0017427485  +0.0000462918  +0.0000353996  +0.0001252601  +0.0007107146  +0.0012988923  +0.0002559662  +0.0018761777  +0.0000136152  +0.0000953066  +0.0016447189  +0.0006753151  +0.0000408457  +0.0019633151  
  DP-Recovery  +0.0636901974  +0.1468773940  +0.0019496999  +0.1551094603  +0.0660731640  +0.0123480995  +0.1026841958  +0.0959685628  +0.0225298657  +0.1193649618  +0.0838370966  +0.1522932271  +0.1037673624  +0.0017330666  +0.1386453277  +0.0036827665  +0.0028162332  +0.0099651329  +0.0565412977  +0.1033340958  +0.0203635325  +0.1492603606  +0.0010831666  +0.0075821664  +0.1308465280  +0.0537250645  +0.0032494999  +0.1561926270  
          DPS  +0.0271306008  +0.0625664877  +0.0008305286  +0.0660731640  +0.0281456914  +0.0052600145  +0.0437411728  +0.0408804632  +0.0095972193  +0.0508468064  +0.0357127297  +0.0648735116  +0.0442025776  +0.0007382476  +0.0590598114  +0.0015687762  +0.0011996524  +0.0042449239  +0.0240853293  +0.0440180157  +0.0086744098  +0.0635815782  +0.0004614048  +0.0032298334  +0.0557376970  +0.0228856769  +0.0013842143  +0.0665345687  
       Debuff  +0.0050703090  +0.0116927534  +0.0001552135  +0.0123480995  +0.0052600145  +0.0009830191  +0.0081745798  +0.0076399554  +0.0017935787  +0.0095025179  +0.0066741823  +0.0121239022  +0.0082608096  +0.0001379676  +0.0110374074  +0.0002931811  +0.0002241973  +0.0007933137  +0.0045011927  +0.0082263177  +0.0016211192  +0.0118824589  +0.0000862297  +0.0006036082  +0.0104165532  +0.0042769954  +0.0002586892  +0.0124343292  
     Defender  +0.0421636223  +0.0972344759  +0.0012907231  +0.1026841958  +0.0437411728  +0.0081745798  +0.0679780849  +0.0635322608  +0.0149150229  +0.0790209384  +0.0555010947  +0.1008198180  +0.0686951533  +0.0011473095  +0.0917847560  +0.0024380326  +0.0018643779  +0.0065970293  +0.0374309708  +0.0684083260  +0.0134808860  +0.0988120264  +0.0007170684  +0.0050194788  +0.0866218635  +0.0355665930  +0.0021512052  +0.1034012642  
      Defense  +0.0394060858  +0.0908752591  +0.0012063087  +0.0959685628  +0.0408804632  +0.0076399554  +0.0635322608  +0.0593771973  +0.0139395678  +0.0738529023  +0.0518712762  +0.0942261168  +0.0642024323  +0.0010722744  +0.0857819555  +0.0022785832  +0.0017424460  +0.0061655781  +0.0349829537  +0.0639343637  +0.0125992247  +0.0923496365  +0.0006701715  +0.0046912007  +0.0809567205  +0.0332405078  +0.0020105146  +0.0966387343  
Fast-Redeploy  +0.0092510901  +0.0213341466  +0.0002831966  +0.0225298657  +0.0095972193  +0.0017935787  +0.0149150229  +0.0139395678  +0.0032724945  +0.0173379274  +0.0121774554  +0.0221208039  +0.0150723543  +0.0002517303  +0.0201384275  +0.0005349270  +0.0004090618  +0.0014474495  +0.0082127025  +0.0150094217  +0.0029578315  +0.0216802758  +0.0001573315  +0.0011013203  +0.0190056409  +0.0078036407  +0.0004719944  +0.0226871972  
        Guard  +0.0490129871  +0.1130299499  +0.0015003976  +0.1193649618  +0.0508468064  +0.0095025179  +0.0790209384  +0.0738529023  +0.0173379274  +0.0918576731  +0.0645170953  +0.1171977209  +0.0798544926  +0.0013336867  +0.1066949379  +0.0028340843  +0.0021672409  +0.0076686987  +0.0435115294  +0.0795210709  +0.0156708190  +0.1148637691  +0.0008335542  +0.0058348794  +0.1006933477  +0.0413442884  +0.0025006626  +0.1201985160  
